Sl.No,Course Code,Course Name,AS,AA,AB,BB,BC,CC,CD,DD,FA,FD,FP,I,NP,PP,Grand Total,HoD,Hardcopy Received
121,CH 400,Computers and Chemistry,1,6,14,14,12,10,0,0,1,0,0,0,0,0,58,Forwarded,Yes
122,CH 411,Inorganic Reaction Mechanism and Organometallics,0,3,7,14,6,12,7,7,0,0,1,1,0,0,58,Forwarded,Yes
123,CH 418,Biological Chemistry of Metal Ions,0,24,31,0,0,0,0,0,0,0,0,0,0,0,55,Forwarded,No
124,CH 419,Consumer Chemistry,6,15,52,67,55,36,20,9,0,0,7,3,0,0,270,Forwarded,Yes
125,CH 421,Organic Reactions Mechanisms,0,1,12,21,17,4,0,2,1,0,0,0,0,0,58,Forwarded,Yes
126,CH 425,Organic Chemistry Laboratory,0,13,31,9,1,2,0,0,2,0,0,0,0,0,58,Forwarded,Yes
127,CH 428,Drug Design and Development,0,8,21,16,7,0,0,0,0,0,0,0,0,0,52,Forwarded,Yes
128,CH 432,Chemical Dynamics and Electrochemistry,0,1,3,4,17,14,12,5,1,0,1,0,0,0,58,Forwarded,Yes
129,CH 433,Applications of Spectroscopy,0,0,8,13,28,6,1,1,1,0,0,0,0,0,58,Forwarded,Yes
130,CH 437,Chemical Approaches to Nanoscale Science and Technology,3,6,12,12,12,6,3,0,0,0,0,0,0,0,54,Forwarded,Yes
131,CH 438,Application to Statistical Mechanics to Chemistry,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Forwarded,Yes
132,CH 499,Project - II,0,25,12,4,7,4,3,0,0,0,0,0,0,0,55,Forwarded,Yes
133,CH 500,Graduate Seminar,0,24,33,2,0,0,0,0,0,0,0,0,0,0,59,Forwarded,Yes
134,CH 600,Project,0,27,28,2,0,2,0,0,0,0,0,0,0,0,59,Forwarded,Yes
135,CH 603,Concepts of Molecular Machine,0,7,6,0,0,0,0,0,0,0,0,0,0,0,13,Forwarded,Yes
136,CH 613,Applied Inorganic Chemistry,0,25,16,12,8,3,0,0,0,0,0,0,0,0,64,Forwarded,Yes
137,CH 617,Organometallics,0,9,10,5,3,1,0,0,1,0,0,0,0,1,30,Forwarded,Yes
138,CH 618,Bio-inorganic Chemistry,0,5,4,1,0,0,0,0,2,0,0,0,0,0,12,Forwarded,Yes
139,CH 621,Modern Reagents in Organic Synthesis,0,17,19,11,5,5,0,0,0,0,0,0,0,0,57,Forwarded,Yes
140,CH 627,New Reagents for Organic Synthesis,0,10,11,5,5,1,0,0,0,0,0,0,0,0,32,Forwarded,Yes
141,CH 629,Advances in Bio-organic Chemistry,1,1,4,2,3,0,0,0,0,0,0,0,0,0,11,Forwarded,Yes
142,CH 631,Advanced Quantum Chemistry,4,8,2,0,0,0,0,0,0,0,0,0,0,0,14,Forwarded,Yes
143,CH 639,Principles and Applications of Molecular Fluorescence,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Forwarded,No
144,CH 644,Applied Quantum Chemistry,0,3,2,1,1,1,0,0,0,0,0,0,0,0,8,Forwarded,Yes
145,CL 205,Mass Transfer Operations I,0,2,6,31,25,18,7,1,0,0,0,0,0,0,90,Forwarded,Yes
146,CL 206,Solid Fluid Operations,0,52,29,8,1,0,0,0,0,0,0,0,0,0,90,Forwarded,Yes
147,CL 207,Computer Aided Numerical Methods,3,11,18,31,18,9,0,0,0,0,0,0,0,0,90,Forwarded,No
148,CL 208,Chemical Reaction Engineering I,0,7,10,27,20,18,7,1,0,0,0,0,0,0,90,Forwarded,Yes
149,CL 209,Process Equipment Design I,0,16,31,27,12,4,0,0,0,0,0,0,0,0,90,Forwarded,Yes
150,CL 210H,Laboratory 1: Fluid Mechanics,0,25,32,31,2,0,0,0,0,0,0,0,0,0,90,Forwarded,Yes
151,CL 211H,Laboratory 2: Heat Transfer,0,32,54,3,1,0,0,0,0,0,0,0,0,0,90,Forwarded,Yes
152,CL 304,Chemical Process Technology,1,13,13,33,17,8,7,2,0,0,0,0,0,0,94,Forwarded,Yes
153,CL 305,Transport Phenomena,0,6,17,16,45,5,1,0,0,3,1,0,0,0,94,Forwarded,Yes
154,CL 306,Process Engineering & Economics,8,16,28,17,14,5,2,4,0,0,0,0,0,0,94,Forwarded,Yes
155,CL 312,Computer Aided Process Equipmen Design,0,7,18,20,25,17,7,0,0,0,0,0,0,0,94,Forwarded,Yes
156,CL 313,Laboratory 4: Mass Transfer,0,1,3,23,28,36,2,1,0,0,0,0,0,0,94,Forwarded,Yes
157,CL 314H,Laboratory 5: Reaction Engineering,1,20,36,22,11,3,1,0,0,0,0,0,0,0,94,Forwarded,Yes
158,CL 315H,Laboratory 6: Process Control,0,10,22,24,26,10,1,0,0,0,0,0,0,0,93,Forwarded,Yes
159,CL 399,General Learning of Chemical Engineering Research Project - II,0,3,1,1,0,0,0,0,0,0,0,0,0,0,5,Forwarded,Yes
160,CL 499,Project II,0,20,12,9,10,2,1,3,1,0,0,1,0,0,59,Forwarded,Yes
161,CL 503,Advanced Thermodynamics,0,4,8,19,8,4,1,0,0,0,1,0,0,0,45,Forwarded,No
162,CL 504,Advanced reaction Engineering,3,10,15,11,2,2,0,0,0,0,1,0,0,0,44,Forwarded,Yes
163,CL 505,Petroleum Production Engineering,0,1,5,9,4,4,0,0,0,0,1,0,0,0,24,Forwarded,Yes
164,CL 506,Smart Materials,1,3,4,2,2,4,0,0,1,0,0,0,0,0,17,Forwarded,Yes
165,CL 514,Fundamentals of Material Science & Engineering,0,4,6,5,3,0,1,0,3,0,0,0,0,0,22,Forwarded,Yes
166,CL 598,Petroleum Laboratory,0,23,0,0,0,0,0,0,0,0,0,0,0,0,23,Forwarded,Yes
167,CL 599,Scientific Communications,0,12,11,13,5,2,0,0,0,0,1,0,0,0,44,Forwarded,Yes
168,CL 611,Advanced Process Control,1,1,4,7,11,18,21,12,0,0,0,0,0,1,76,Forwarded,Yes
169,CL 613,Computational Fluid Dynamics,0,0,1,3,2,0,0,0,1,0,0,0,0,3,10,Forwarded,Yes
170,CL 617,Petrochemicals,1,3,3,5,1,1,0,0,0,0,0,0,0,0,14,Forwarded,Yes
171,CL 619,Refinery process design,0,1,1,0,0,0,0,1,0,0,0,0,0,1,4,Forwarded,Yes
172,CL 622,Molecular simulations: Principles and Applications,0,3,0,2,3,1,1,0,1,0,0,0,0,0,11,Forwarded,Yes
173,CL 625,Fundamentals of micro- nanofluidics & microfabrication,4,5,4,2,0,0,0,0,0,0,0,0,0,2,17,Forwarded,Yes
174,CL 633,Applied Statistical Thermodynamics,1,6,8,6,15,18,9,6,1,0,0,0,0,0,70,Forwarded,Yes
175,CL 643,Computer aided applied optimization,2,13,17,14,7,6,2,0,0,1,0,5,0,0,67,Forwarded,Yes
176,CL 653,Applications of Artificial Intelligence and Machine Learning in Chemical Engineering,3,6,16,42,35,14,11,5,0,3,0,0,1,0,136,Forwarded,Yes
177,CL 654,Multiscale Modelling and Simulation,0,3,11,17,10,7,5,2,0,0,0,0,0,0,55,Forwarded,Yes
178,COS 01,CoS 01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,Forwarded,Yes
179,CoS 02,CoS 02,0,0,0,0,0,0,0,0,0,0,0,0,7,4,11,Forwarded,Yes
180,CoS 04,CoS 04,0,0,0,0,0,0,0,0,0,0,0,0,149,571,720,Forwarded,Yes
